IGenbank ID,Gene,Gene_category,Subcategory1,Subcategory2,Organism,Lineage,#TH-->JM,#NTH-->JM,#TI-->JM,#NTI-->JM
371721501,fepA_iron,Metal Homeostasis,Iron,Transport,Caldithrix abyssi DSM 13497,superkingdom:Bacteria;genus:Caldithrix;species:Caldithrix abyssi;,,,,1216
373487177,fepA_iron,Metal Homeostasis,Iron,Transport,Holophaga foetida DSM 6591,superkingdom:Bacteria;phylum:Acidobacteria;class:Holophagae;order:Holophagales;family:Holophagaceae;genus:Holophaga;species:Holophaga foetida;,6511,5235,3271,4433
373488449,fepA_iron,Metal Homeostasis,Iron,Transport,Holophaga foetida DSM 6591,superkingdom:Bacteria;phylum:Acidobacteria;class:Holophagae;order:Holophagales;family:Holophagaceae;genus:Holophaga;species:Holophaga foetida;,,337,473,791
116223345,fepA_iron,Metal Homeostasis,Iron,Transport,Candidatus Solibacter usitatus Ellin6076,superkingdom:Bacteria;phylum:Acidobacteria;class:Solibacteres;order:Solibacterales;family:Solibacteraceae;genus:Candidatus Solibacter;species:Candidatus Solibacter usitatus;,892,1835,1809,1087
94550015,fepA_iron,Metal Homeostasis,Iron,Transport,Candidatus Koribacter versatilis Ellin345,superkingdom:Bacteria;phylum:Acidobacteria;genus:Candidatus Koribacter;species:Candidatus Koribacter versatilis;,18775,16783,30156,23151
313696234,fepA_iron,Metal Homeostasis,Iron,Transport,Bacteroides sp. D2,superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Bacteroidaceae;genus:Bacteroides;,5909,1236,966,566
224519099,fepA_iron,Metal Homeostasis,Iron,Transport,Bacteroides cellulosilyticus DSM 14838,superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Bacteroidaceae;genus:Bacteroides;species:Bacteroides cellulosilyticus;,,,391,
329954550,fepA_iron,Metal Homeostasis,Iron,Transport,Bacteroides clarus YIT 12056,superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Bacteroidaceae;genus:Bacteroides;species:Bacteroides clarus;,,672,,
380695860,fepA_iron,Metal Homeostasis,Iron,Transport,Bacteroides faecis MAJ27,superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Bacteroidaceae;genus:Bacteroides;species:Bacteroides faecis;,498,,,
260642355,fepA_iron,Metal Homeostasis,Iron,Transport,Bacteroides finegoldii DSM 17565,superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Bacteroidaceae;genus:Bacteroides;species:Bacteroides finegoldii;,,,,357
313147421,fepA_iron,Metal Homeostasis,Iron,Transport,Bacteroides fragilis 3_1_12,superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Bacteroidaceae;genus:Bacteroides;species:Bacteroides fragilis;,,203,,
319903072,fepA_iron,Metal Homeostasis,Iron,Transport,Bacteroides helcogenes P 36-108,superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Bacteroidaceae;genus:Bacteroides;species:Bacteroides helcogenes;,,206,3340,1025
198271691,fepA_iron,Metal Homeostasis,Iron,Transport,Bacteroides plebeius DSM 17135,superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Bacteroidaceae;genus:Bacteroides;species:Bacteroides plebeius;,1439,612,54542,
332830376,fepA_iron,Metal Homeostasis,Iron,Transport,Dysgonomonas gadei ATCC BAA-286,superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Porphyromonadaceae;genus:Dysgonomonas;species:Dysgonomonas gadei;,545,486,,
333382858,fepA_iron,Metal Homeostasis,Iron,Transport,Dysgonomonas gadei ATCC BAA-286,superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Porphyromonadaceae;genus:Dysgonomonas;species:Dysgonomonas gadei;,,1144,468,1940
325279935,fepA_iron,Metal Homeostasis,Iron,Transport,Odoribacter splanchnicus DSM 20712,superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Porphyromonadaceae;genus:Odoribacter;species:Odoribacter splanchnicus;,1518,484,1424,359
218223842,fepA_iron,Metal Homeostasis,Iron,Transport,Parabacteroides johnsonii DSM 18315,superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Porphyromonadaceae;genus:Parabacteroides;species:Parabacteroides johnsonii;,14529,2907,1821,790
228307128,fepA_iron,Metal Homeostasis,Iron,Transport,Porphyromonas uenonis 60-3,superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Porphyromonadaceae;genus:Porphyromonas;species:Porphyromonas uenonis;,,,,387
375255764,fepA_iron,Metal Homeostasis,Iron,Transport,Tannerella forsythia ATCC 43037,superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Porphyromonadaceae;genus:Tannerella;species:Tannerella forsythia;,,1604,,
363407427,fepA_iron,Metal Homeostasis,Iron,Transport,Tannerella forsythia ATCC 43037,superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Porphyromonadaceae;genus:Tannerella;species:Tannerella forsythia;,,,600,
340347669,fepA_iron,Metal Homeostasis,Iron,Transport,Prevotella dentalis DSM 3688,superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Prevotellaceae;genus:Prevotella;species:Prevotella dentalis;,1719,662,,858
326944559,fepA_iron,Metal Homeostasis,Iron,Transport,Prevotella denticola F0289,superkingdom:Bacteria;phylum:Bacteroidetes;class:Bacteroidia;order:Bacteroidales;family:Prevotellaceae;genus:Prevotella;species:Prevotella denticola;,,222,,
